92222,Santa Clara,2014-03-14 00:55:28.063,null,1,4,0,0.16,0.26,0.08,0.18,0
62368,Santa Clara,2014-03-14 01:03:54.751,null,1,4,0,0.16,0.26,0.08,0.18,0
35360,Santa Clara,2014-03-14 01:03:54.766,null,8,4,2,1.32,1.92,0.64,0.18,1.1
29853,Santa Clara,2014-03-14 01:19:03.744,null,1,4,0,0.16,0.26,0.08,0.18,0
48660,Santa Clara,2014-03-14 01:19:03.759,null,8,4,2,1.32,1.92,0.64,0.18,1.1
24502,Santa Clara,2014-03-14 01:22:57.177,null,1,4,0,0.16,0.26,0.08,0.18,0
13899,Santa Clara,2014-03-14 01:22:57.192,null,8,4,2,1.32,1.92,0.64,0.18,1.1
50764,Santa Clara,2014-03-14 01:24:17.702,null,1,4,0,0.16,0.26,0.08,0.18,0
64248,Santa Clara,2014-03-14 01:24:17.716,null,8,4,2,1.32,1.92,0.64,0.18,1.1
27722,Santa Clara,2014-03-14 01:25:24.049,null,1,4,0,0.16,0.26,0.08,0.18,0
25997,Santa Clara,2014-03-14 01:25:24.065,null,8,4,2,1.32,1.92,0.64,0.18,1.1
50524,Santa Clara,2014-03-14 01:26:56.058,null,1,4,0,0.16,0.26,0.08,0.18,0
31289,Santa Clara,2014-03-14 01:26:56.073,null,8,4,2,1.32,1.92,0.64,0.18,1.1
58732,Santa Clara,2014-03-14 01:27:12.448,null,2,0,0,0.08,0.16,0.16,0,0
21830,Santa Clara,2014-03-14 01:34:20.099,null,1,4,0,0.16,0.26,0.08,0.18,0
75182,Santa Clara,2014-03-14 01:34:20.113,null,8,4,2,1.32,1.92,0.64,0.18,1.1
57303,Santa Clara,2014-03-14 01:34:31.69,null,2,2,0,0.14,0.25,0.16,0.09,0
57303,Santa Clara,2014-03-14 01:35:01.715,null,4,0,0,0.16,0.32,0.32,0,0
57303,Santa Clara,2014-03-14 01:35:05.27,null,0,4,0,0.12,0.18,0,0.18,0
98513,Santa Clara,2014-03-14 01:38:36.91,null,1,4,0,0.16,0.26,0.08,0.18,0
11847,Santa Clara,2014-03-14 01:38:36.924,null,8,4,2,1.32,1.92,0.64,0.18,1.1
11748,Santa Clara,2014-03-14 01:38:51.721,null,3,0,0,0.12,0.24,0.24,0,0
11748,Santa Clara,2014-03-14 01:38:54.133,null,0,3,0,0.09,0.14,0,0.14,0
11847,Santa Clara,2014-03-14 01:39:09.673,null,15,4,2,1.6,2.48,1.2,0.18,1.1
11847,Santa Clara,2014-03-14 01:39:14.74,null,3,0,0,0.12,0.24,0.24,0,0
11847,Santa Clara,2014-03-14 01:39:19.468,null,0,2,0,0.06,0.09,0,0.09,0
55121,Santa Clara,2014-03-14 01:43:15.68,null,1,4,0,0.16,0.26,0.08,0.18,0
80093,Santa Clara,2014-03-14 01:43:15.701,null,8,4,2,1.32,1.92,0.64,0.18,1.1
66747,Santa Clara,2014-03-14 01:43:35.212,null,1,1,0,0.07,0.12,0.08,0.04,0
96710,Santa Clara,2014-03-14 01:46:37.787,null,1,4,0,0.16,0.26,0.08,0.18,0
50565,Santa Clara,2014-03-14 01:46:37.802,null,8,4,2,1.32,1.92,0.64,0.18,1.1
42099,Santa Clara,2014-03-14 01:47:03.43,null,1,4,0,0.16,0.26,0.08,0.18,0
89495,Santa Clara,2014-03-14 01:47:03.444,null,8,4,2,1.32,1.92,0.64,0.18,1.1
36444,Santa Clara,2014-03-14 01:47:27.639,null,1,4,0,0.16,0.26,0.08,0.18,0
44217,Santa Clara,2014-03-14 01:47:27.654,null,8,4,2,1.32,1.92,0.64,0.18,1.1
28902,Santa Clara,2014-03-14 01:49:16.867,null,1,4,0,0.16,0.26,0.08,0.18,0
52300,Santa Clara,2014-03-14 01:49:16.882,null,8,4,2,1.32,1.92,0.64,0.18,1.1
68956,Santa Clara,2014-03-14 01:50:16.543,null,1,4,0,0.16,0.26,0.08,0.18,0
81817,Santa Clara,2014-03-14 01:50:16.558,null,8,4,2,1.32,1.92,0.64,0.18,1.1
48215,Santa Clara,2014-03-14 01:51:51.235,null,1,4,0,0.16,0.26,0.08,0.18,0
86420,Santa Clara,2014-03-14 01:51:51.249,null,8,4,2,1.32,1.92,0.64,0.18,1.1
26342,Santa Clara,2014-03-14 01:54:06.271,null,1,4,0,0.16,0.26,0.08,0.18,0
96301,Santa Clara,2014-03-14 01:54:06.285,null,8,4,2,1.32,1.92,0.64,0.18,1.1
68478,Santa Clara,2014-03-14 01:57:45.406,null,1,4,0,0.16,0.26,0.08,0.18,0
57874,Santa Clara,2014-03-14 01:57:45.427,null,8,4,2,1.32,1.92,0.64,0.18,1.1
37553,Santa Clara,2014-03-14 01:58:29.12,null,1,4,0,0.16,0.26,0.08,0.18,0
91659,Santa Clara,2014-03-14 01:58:29.135,null,8,4,2,1.32,1.92,0.64,0.18,1.1
60908,Santa Clara,2014-03-14 02:01:04.69,null,1,4,0,0.16,0.26,0.08,0.18,0
59182,Santa Clara,2014-03-14 02:01:04.705,null,8,4,2,1.32,1.92,0.64,0.18,1.1
28640,Santa Clara,2014-03-14 02:02:01.535,null,1,4,0,0.16,0.26,0.08,0.18,0
21690,Santa Clara,2014-03-14 02:02:01.55,null,8,4,2,1.32,1.92,0.64,0.18,1.1
